 avg (temperature), max (temperature), min (temperature), avg (humidity), max (humidity), min (humidity), power, label
11.25,14.5,7.7,74.09,94,49,211.92,0
9.61,15.5,4.8,64.35,85,38,243.6,0
9.81,15.8,5.0,63.26,86,40,161.3,0
10.9,17.2,5.2,59.17,85,34,220.99,0
11.48,18.3,5.9,57.04,80,30,185.58,0
11.34,17.6,6.1,63.83,84,38,162.65,0
11.71,17.3,6.4,64.3,88,39,166.08,0
12.83,18.7,7.7,73.78,90,50,173.17,0
13.69,18.0,10.3,64.52,92,34,173.32,0
12.73,19.4,7.2,54.13,74,32,190.18,0
14.62,20.5,10.6,54.57,66,37,219.82,0
13.87,17.6,11.1,61.7,70,49,264.07,0
14.14,19.9,9.2,71.91,88,48,206.03,0
13.03,16.8,10.4,77.09,94,53,213.77,0
11.6,16.7,8.0,75.57,96,52,203.93,0
11.99,17.0,7.7,70.35,89,37,233.73,0
12.26,16.0,8.6,79.65,92,65,193.17,0
13.04,20.2,7.9,69.26,96,29,197.07,0
14.16,21.1,8.9,61.17,82,35,100.57,0
15.13,20.9,9.7,57.74,77,42,228.14,0
9.23,15.4,4.7,80.87,93,60,126.67,0
5.01,6.4,3.1,81.74,90,73,143.77,0
4.06,7.1,0.7,72.96,90,55,130.62,0
5.43,9.1,2.3,61.04,81,51,216.23,0
4.59,8.2,1.5,55.96,74,40,189.39,0
6.92,12.9,0.6,65.26,79,50,187.34,0
11.33,16.2,7.9,68.83,83,39,206.48,0
10.21,15.7,5.9,71.26,94,37,180.7,0
8.71,13.3,4.6,66.22,91,35,139.35,0
7.41,12.2,2.7,63.91,87,37,179.7,0
11.57,15.8,7.8,69.7,83,60,163.64,0
13.12,16.4,10.8,84.09,94,66,211.62,0
10.47,15.5,7.0,78.39,94,46,162.54,0
10.71,13.1,8.6,73.22,92,59,228.11,0
3.19,6.8,-0.4,63.04,88,48,136.2,0
-0.55,2.0,-3.5,60.43,75,50,180.85,0
3.76,8.9,-2.5,63.43,71,58,195.07,0
6.0,9.8,3.1,55.87,81,34,208.74,0
2.93,7.1,-0.4,56.61,70,37,140.59,0
3.36,9.9,-1.3,53.26,70,31,128.02,0
4.93,12.0,-1.3,52.61,73,29,240.47,0
7.54,13.3,2.6,59.78,71,49,173.75,0
6.22,8.6,1.1,81.87,99,65,206.55,0
-1.07,1.4,-2.8,51.09,60,40,165.41,0
0.92,4.8,-4.6,66.52,82,50,249.49,0
2.23,4.4,-1.4,53.65,89,29,207.39,0
1.37,6.8,-2.6,49.57,64,36,177.58,0
2.94,9.2,-2.2,49.04,62,33,189.13,0
5.29,11.9,-0.7,59.87,73,39,193.36,0
7.02,13.0,2.6,66.91,82,46,174.32,0
6.83,13.2,2.1,69.74,91,45,189.07,0
6.26,9.6,2.8,70.17,84,59,214.47,0
7.17,8.2,5.9,80.09,94,68,189.12,0
6.01,9.3,4.5,83.96,95,68,216.78,0
1.72,4.8,-3.5,63.74,88,37,190.63,0
-2.34,1.7,-5.8,43.43,53,28,221.78,0
3.4,8.1,-0.3,62.13,91,48,158.52,0
7.29,9.6,5.5,85.52,98,67,196.41,0
6.5,9.7,4.2,71.74,89,38,241.17,0
-4.82,2.6,-9.9,50.04,67,35,220.05,0
-6.23,-1.9,-11.1,60.43,93,34,209.85,0
-0.79,4.0,-5.7,64.22,99,40,188.84,0
4.9,11.0,-0.6,76.17,88,58,181.53,0
5.68,8.5,1.5,73.39,98,37,213.03,0
2.2,8.0,-2.4,46.35,59,31,180.97,0
2.65,8.2,-1.4,54.17,67,37,234.53,0
0.46,3.2,-6.6,67.0,82,60,161.44,0
-11.36,-8.3,-14.4,42.3,49,31,151.11,0
-12.15,-7.6,-15.4,42.83,52,31,282.48,0
-7.85,-4.0,-12.8,58.13,81,40,197.52,0
-4.27,-0.9,-8.4,73.83,90,58,193.36,0
0.57,5.5,-3.8,73.35,87,54,126.89,0
-3.63,0.2,-6.7,48.96,61,35,242.87,0
-6.53,-4.0,-8.8,35.22,42,27,196.02,0
